state,overall_priority_rank,policy_priority_category,cluster_name,evidence_flags,recommended_policy_focus
Odisha,1.0,High education disadvantage and high economic vulnerability,Compound education and economic disadvantage,low ST literacy (52.20%); large literacy gap (20.60 pp); high secondary dropout (33.12%); low female literacy (41.04%); high ST poverty (51.60%); high unmet MGNREG demand (255 per 1000); 6 low-female-literacy district(s); many >50% ST villages (17798),"Prioritise foundational literacy, remedial learning, and adult literacy in ST communities; Target the ST-general population literacy gap with ST-focused school support and tracking; Strengthen secondary retention through hostels, transport, scholarships, and transition support; Add female literacy interventions: residential schooling, women teachers, safety, sanitation, and community outreach"
Madhya Pradesh,3.0,High education disadvantage and high economic vulnerability,Compound education and economic disadvantage,low ST literacy (50.60%); large literacy gap (18.80 pp); high secondary dropout (17.60%); low female literacy (41.20%); high ST poverty (43.80%); high unmet MGNREG demand (236 per 1000); 11 low-female-literacy district(s); many >50% ST villages (15022),"Prioritise foundational literacy, remedial learning, and adult literacy in ST communities; Target the ST-general population literacy gap with ST-focused school support and tracking; Strengthen secondary retention through hostels, transport, scholarships, and transition support; Add female literacy interventions: residential schooling, women teachers, safety, sanitation, and community outreach"
Jharkhand,6.0,Economic vulnerability priority,Compound education and economic disadvantage,low ST literacy (57.10%); low female literacy (46.16%); weak WPR (375 per 1000); high unmet MGNREG demand (245 per 1000); 6 low-female-literacy district(s); many >50% ST villages (12239),"Prioritise foundational literacy, remedial learning, and adult literacy in ST communities; Add female literacy interventions: residential schooling, women teachers, safety, sanitation, and community outreach; Connect upper-secondary schooling with local skills, placement, and public employment pathways; Improve MGNREG work availability while reducing education costs for vulnerable households"
Maharashtra,7.0,High education disadvantage and high economic vulnerability,Compound education and economic disadvantage,large literacy gap (16.60 pp); high secondary dropout (21.04%); many >50% ST villages (6738),"Target the ST-general population literacy gap with ST-focused school support and tracking; Strengthen secondary retention through hostels, transport, scholarships, and transition support; Use geographically concentrated service delivery: school clusters, mobile academic support, and local monitoring"
Rajasthan,9.0,Education disadvantage priority,Compound education and economic disadvantage,low ST literacy (52.80%); large literacy gap (13.30 pp); low female literacy (37.13%); 11 low-female-literacy district(s); many >50% ST villages (7763),"Prioritise foundational literacy, remedial learning, and adult literacy in ST communities; Target the ST-general population literacy gap with ST-focused school support and tracking; Add female literacy interventions: residential schooling, women teachers, safety, sanitation, and community outreach; Use district-level targeting instead of only state-wide averages"
Nagaland,10.0,Economic vulnerability priority,Economic and labour vulnerability,high secondary dropout (16.79%); weak WPR (385 per 1000),"Strengthen secondary retention through hostels, transport, scholarships, and transition support; Connect upper-secondary schooling with local skills, placement, and public employment pathways"
Chhattisgarh,11.0,Economic vulnerability priority,Compound education and economic disadvantage,low ST literacy (59.10%); low female literacy (48.62%); high ST poverty (43.90%); high unmet MGNREG demand (233 per 1000); 2 low-female-literacy district(s),"Prioritise foundational literacy, remedial learning, and adult literacy in ST communities; Add female literacy interventions: residential schooling, women teachers, safety, sanitation, and community outreach; Bundle schooling support with livelihood, nutrition, and scholarship protection for poor ST households; Improve MGNREG work availability while reducing education costs for vulnerable households"
Jammu and Kashmir,12.0,Education disadvantage priority,Education-system disadvantage,low ST literacy (50.60%); large literacy gap (16.60 pp); low female literacy (39.17%); 15 low-female-literacy district(s),"Prioritise foundational literacy, remedial learning, and adult literacy in ST communities; Target the ST-general population literacy gap with ST-focused school support and tracking; Add female literacy interventions: residential schooling, women teachers, safety, sanitation, and community outreach; Use district-level targeting instead of only state-wide averages"
Gujarat,13.0,Monitor / comparatively lower priority,Compound education and economic disadvantage,large literacy gap (15.60 pp); high secondary dropout (20.35%); 1 low-female-literacy district(s),"Target the ST-general population literacy gap with ST-focused school support and tracking; Strengthen secondary retention through hostels, transport, scholarships, and transition support; Use district-level targeting instead of only state-wide averages"
Tripura,15.0,Economic vulnerability priority,Economic and labour vulnerability,weak WPR (372 per 1000),"Connect upper-secondary schooling with local skills, placement, and public employment pathways"
Dadra and Nagar Haveli and Daman and Diu,17.0,Monitor / comparatively lower priority,Compound education and economic disadvantage,comparatively stronger or incomplete-risk profile in available indicators,"Maintain monitoring and protect gains, with targeted support for weaker districts or groups"
Assam,19.0,Monitor / comparatively lower priority,Lower composite risk with poverty watchlist,weak WPR (386 per 1000); high unmet MGNREG demand (282 per 1000); many >50% ST villages (6626),"Connect upper-secondary schooling with local skills, placement, and public employment pathways; Improve MGNREG work availability while reducing education costs for vulnerable households; Use geographically concentrated service delivery: school clusters, mobile academic support, and local monitoring"
Arunachal Pradesh,22.0,Monitor / comparatively lower priority,Lower composite risk with poverty watchlist,weak WPR (385 per 1000); high unmet MGNREG demand (285 per 1000),"Connect upper-secondary schooling with local skills, placement, and public employment pathways; Improve MGNREG work availability while reducing education costs for vulnerable households"
Sikkim,24.0,Monitor / comparatively lower priority,Lower composite risk with poverty watchlist,comparatively stronger or incomplete-risk profile in available indicators,"Maintain monitoring and protect gains, with targeted support for weaker districts or groups"
Meghalaya,26.0,Monitor / comparatively lower priority,Lower composite risk with poverty watchlist,high secondary dropout (21.99%),"Strengthen secondary retention through hostels, transport, scholarships, and transition support"
Goa,27.0,Monitor / comparatively lower priority,Lower composite risk with poverty watchlist,weak WPR (362 per 1000),"Connect upper-secondary schooling with local skills, placement, and public employment pathways"
Lakshadweep,29.0,Economic vulnerability priority,Economic and labour vulnerability,comparatively stronger or incomplete-risk profile in available indicators,"Maintain monitoring and protect gains, with targeted support for weaker districts or groups"
Manipur,30.0,Monitor / comparatively lower priority,Lower composite risk with poverty watchlist,comparatively stronger or incomplete-risk profile in available indicators,"Maintain monitoring and protect gains, with targeted support for weaker districts or groups"
Mizoram,31.0,Monitor / comparatively lower priority,Lower composite risk with poverty watchlist,comparatively stronger or incomplete-risk profile in available indicators,"Maintain monitoring and protect gains, with targeted support for weaker districts or groups"
